time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
288;0;0;0;0;0;0;0;0;0;1;16;38;False
289;0;0;0;0;0;0;0;0;0;1;16;37;False
290;0;0;0;0;0;0;0;0;0;1;16;36;False
291;0;0;0;0;0;0;0;0;0;1;16;35;False
292;0;0;0;0;0;0;0;0;0;1;16;34;False
293;0;0;0;0;0;0;0;0;0;1;16;33;False
294;0;0;0;0;0;0;0;0;0;1;16;32;False
295;0;0;0;0;0;0;0;0;0;1;16;31;False
296;0;0;0;0;0;0;0;0;0;1;16;30;False
297;0;0;0;0;0;0;0;0;0;1;16;29;False
298;0;0;0;0;0;0;0;0;1;1;16;29;True
299;0;0;0;0;0;0;0;0;1;1;16;29;True
300;0;0;0;0;0;0;0;0;1;1;16;29;True
301;0;0;0;0;0;0;0;0;1;1;16;29;True
302;0;0;0;0;0;0;0;0;1;1;16;29;True
303;0;0;0;0;0;0;0;0;1;1;16;29;True
304;0;0;0;0;0;0;0;0;1;1;16;29;True
305;0;0;0;0;0;0;0;0;1;1;16;29;True
306;0;0;0;0;0;0;0;0;1;1;16;29;True
307;0;0;0;0;0;0;0;0;1;1;16;29;True
308;0;0;0;0;0;0;0;0;1;1;16;29;True
309;0;0;0;0;0;0;0;0;1;1;16;29;True
310;0;0;0;0;0;0;0;0;1;1;16;29;True
311;0;0;0;0;0;0;0;0;1;1;16;29;True
312;0;0;0;0;0;0;0;0;1;1;16;29;True
313;0;0;0;0;0;0;0;0;1;1;16;29;True
314;0;0;0;0;0;0;0;0;1;1;16;29;True
315;0;0;0;0;0;0;0;0;1;1;16;29;True
316;0;0;0;0;0;0;0;0;1;1;16;29;True
317;0;0;0;0;0;0;0;0;1;1;16;29;True
318;0;0;0;0;0;0;0;0;1;1;16;29;True
319;0;0;0;0;0;0;0;0;1;1;16;29;True
320;0;0;0;0;0;0;0;0;0;1;16;29;True
321;0;0;0;0;0;0;0;0;0;1;16;29;True
322;0;0;0;0;0;0;0;0;0;1;16;29;True
323;0;0;0;0;0;0;0;0;0;1;16;29;True
324;0;0;0;0;0;0;0;0;0;1;16;29;True
325;0;0;0;0;0;0;0;0;0;1;16;29;True
326;0;0;0;0;0;0;0;0;0;1;16;29;True
327;0;0;0;0;0;0;0;0;0;1;16;29;True
328;0;0;0;0;0;0;0;0;0;1;16;28;False
329;0;0;0;0;0;0;0;0;0;1;16;27;False
330;0;0;0;0;0;0;0;0;0;1;16;26;False
